damage_level,image_path,num_detections,centroids
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00140.jpg,1,"[(360.8557434082031, 174.40625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00141.jpg,1,"[(355.58453369140625, 181.75210571289062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00142.jpg,1,"[(355.15863037109375, 165.2948760986328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00143.jpg,1,"[(347.54217529296875, 184.08145141601562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00144.jpg,1,"[(356.852294921875, 194.84361267089844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00145.jpg,1,"[(356.6352844238281, 192.16204833984375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00146.jpg,1,"[(353.132568359375, 182.0768280029297)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00147.jpg,1,"[(354.9747314453125, 175.4481964111328)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00148.jpg,1,"[(340.78570556640625, 177.42575073242188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00149.jpg,1,"[(351.094970703125, 170.49053955078125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00150.jpg,1,"[(347.0567626953125, 176.22811889648438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00151.jpg,1,"[(359.8475341796875, 205.83197021484375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00152.jpg,1,"[(353.28240966796875, 171.02813720703125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00153.jpg,1,"[(348.2644348144531, 170.24905395507812)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00154.jpg,1,"[(349.455810546875, 175.34707641601562)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00155.jpg,1,"[(353.9058837890625, 197.01187133789062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00156.jpg,1,"[(361.6595458984375, 177.58201599121094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00157.jpg,1,"[(359.14642333984375, 166.70028686523438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00158.jpg,1,"[(353.5351257324219, 179.8245391845703)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00159.jpg,1,"[(351.77557373046875, 174.4829864501953)]"
